order_id,product_id,quantity,price_per_unit,item_total
CDB2E23A,P679,1,14.99,14.99
CDB2E23A,P462,2,48.42,96.84
CDB2E23A,P604,1,54.38,54.38
CDB2E23A,P362,3,18.08,54.239999999999995
135B76E5,P118,2,45.51,91.02
135B76E5,P206,2,44.01,88.02
135B76E5,P596,2,64.1,128.2
135B76E5,P302,3,96.08,288.24
135B76E5,P646,2,29.88,59.76
EE739905,P756,2,33.56,67.12
ED9C4E09,P679,3,14.99,44.97
87CBF042,P646,1,29.88,29.88
87CBF042,P707,1,46.51,46.51
87CBF042,P656,2,75.85,151.7
87CBF042,P996,1,48.1,48.1
4194508E,P774,2,81.02,162.04
4194508E,P641,1,71.45,71.45
4194508E,P606,1,13.36,13.36
8EBFE409,P376,2,45.06,90.12
8EBFE409,P745,3,24.76,74.28
8EBFE409,P462,1,48.42,48.42
8EBFE409,P596,1,64.1,64.1
8EBFE409,P807,1,87.2,87.2
F67291BF,P451,2,50.67,101.34
F67291BF,P641,1,71.45,71.45
FDC12CFE,P400,3,92.91,278.73
FDC12CFE,P646,1,29.88,29.88
FDC12CFE,P629,2,63.06,126.12
73D09972,P774,3,81.02,243.06
73D09972,P656,1,75.85,75.85
73D09972,P302,3,96.08,288.24
CA763376,P971,1,1.79,1.79
F44B154A,P707,2,46.51,93.02
F44B154A,P380,3,4.31,12.93
BD86344E,P863,1,74.75,74.75
1B4A223B,P666,3,23.54,70.62
1B4A223B,P783,1,88.71,88.71
1B4A223B,P369,3,15.35,46.05
498C119C,P656,2,75.85,151.7
498C119C,P996,2,48.1,96.2
498C119C,P801,2,84.22,168.44
1B8AF72B,P439,3,15.45,46.349999999999994
379364D4,P400,2,92.91,185.82
FE03C9A6,P596,1,64.1,64.1
FE03C9A6,P376,3,45.06,135.18
FE03C9A6,P155,2,43.27,86.54
FEF04F66,P774,1,81.02,81.02
FEF04F66,P439,3,15.45,46.349999999999994
FEF04F66,P250,2,48.1,96.2
5DB03574,P656,2,75.85,151.7
5DB03574,P977,1,61.63,61.63
5DB03574,P542,3,51.63,154.89000000000001
5DB03574,P462,3,48.42,145.26
B5172890,P348,3,20.09,60.269999999999996
B5172890,P666,1,23.54,23.54
B5172890,P376,2,45.06,90.12
00D523B2,P451,3,50.67,152.01
00D523B2,P452,3,68.63,205.89
EC07E4A3,P462,2,48.42,96.84
EC07E4A3,P206,1,44.01,44.01
EC07E4A3,P720,2,79.36,158.72
44A76081,P774,2,81.02,162.04
44A76081,P971,3,1.79,5.37
44A76081,P155,2,43.27,86.54
13CEAD2C,P462,1,48.42,48.42
13CEAD2C,P604,3,54.38,163.14000000000001
13CEAD2C,P756,2,33.56,67.12
13CEAD2C,P801,1,84.22,84.22
13CEAD2C,P369,3,15.35,46.05
6B1C7B58,P302,1,96.08,96.08
6B1C7B58,P996,1,48.1,48.1
067EA39E,P206,2,44.01,88.02
067EA39E,P118,2,45.51,91.02
067EA39E,P720,3,79.36,238.07999999999998
067EA39E,P452,2,68.63,137.26
3126C3D8,P875,1,69.62,69.62
3126C3D8,P596,1,64.1,64.1
32130BEB,P462,3,48.42,145.26
32130BEB,P606,1,13.36,13.36
6AD1467B,P606,2,13.36,26.72
6AD1467B,P816,2,60.63,121.26
D38B8C01,P735,3,74.18,222.54000000000002
D38B8C01,P452,3,68.63,205.89
D38B8C01,P646,1,29.88,29.88
D38B8C01,P774,2,81.02,162.04
D38B8C01,P542,1,51.63,51.63
4D535529,P707,1,46.51,46.51
4D535529,P362,2,18.08,36.16
6D5FCD05,P666,3,23.54,70.62
6D5FCD05,P462,2,48.42,96.84
C4CE5631,P542,2,51.63,103.26
C4CE5631,P875,2,69.62,139.24
C4CE5631,P646,1,29.88,29.88
B94E516B,P629,2,63.06,126.12
B94E516B,P890,2,23.71,47.42
7916276B,P644,2,81.82,163.64
367B8C11,P679,1,14.99,14.99
254EABE3,P644,1,81.82,81.82
254EABE3,P712,3,68.0,204.0
254EABE3,P348,2,20.09,40.18
BD114884,P489,2,95.66,191.32
BD114884,P542,2,51.63,103.26
BD114884,P451,3,50.67,152.01
BD114884,P439,1,15.45,15.45
37929B14,P646,1,29.88,29.88
690F8722,P745,3,24.76,74.28
690F8722,P735,2,74.18,148.36
690F8722,P439,3,15.45,46.349999999999994
6EBA89D7,P155,2,43.27,86.54
6EBA89D7,P890,2,23.71,47.42
6EBA89D7,P380,1,4.31,4.31
6EBA89D7,P720,2,79.36,158.72
6EBA89D7,P604,3,54.38,163.14000000000001
420C51CC,P462,1,48.42,48.42
420C51CC,P250,2,48.1,96.2
420C51CC,P735,3,74.18,222.54000000000002
4E71DEBB,P302,2,96.08,192.16
75F171DD,P200,3,85.36,256.08
CAA4ED11,P400,3,92.91,278.73
16F4FD66,P604,2,54.38,108.76
16F4FD66,P863,1,74.75,74.75
F4DDEB1A,P801,3,84.22,252.66
F4DDEB1A,P604,1,54.38,54.38
F4DDEB1A,P735,3,74.18,222.54000000000002
AB7CB642,P807,1,87.2,87.2
AB7CB642,P206,2,44.01,88.02
AB7CB642,P302,3,96.08,288.24
AB7CB642,P756,3,33.56,100.68
AB7CB642,P875,1,69.62,69.62
BF430666,P462,1,48.42,48.42
BF430666,P807,1,87.2,87.2
BF430666,P816,1,60.63,60.63
BF430666,P348,1,20.09,20.09
BF430666,P891,2,73.07,146.14
720E478B,P735,2,74.18,148.36
720E478B,P720,1,79.36,79.36
720E478B,P362,3,18.08,54.239999999999995
720E478B,P644,3,81.82,245.45999999999998
29063C54,P376,3,45.06,135.18
29063C54,P996,1,48.1,48.1
29063C54,P807,1,87.2,87.2
2F1223A2,P679,2,14.99,29.98
2F1223A2,P735,3,74.18,222.54000000000002
2F1223A2,P977,1,61.63,61.63
2F1223A2,P439,3,15.45,46.349999999999994
A568B49B,P804,1,32.67,32.67
A568B49B,P606,1,13.36,13.36
A568B49B,P629,3,63.06,189.18
A568B49B,P890,3,23.71,71.13
0269F693,P977,2,61.63,123.26
0269F693,P606,3,13.36,40.08
0269F693,P745,1,24.76,24.76
0269F693,P756,3,33.56,100.68
38A2F4A2,P971,1,1.79,1.79
38A2F4A2,P707,2,46.51,93.02
38A2F4A2,P644,3,81.82,245.45999999999998
1ABB96DA,P629,2,63.06,126.12
1ABB96DA,P720,2,79.36,158.72
1ABB96DA,P679,2,14.99,29.98
1ABB96DA,P604,3,54.38,163.14000000000001
D4EF1867,P996,3,48.1,144.3
D4EF1867,P666,3,23.54,70.62
B7DEE108,P875,3,69.62,208.86
B7DEE108,P629,2,63.06,126.12
DC34CC79,P596,3,64.1,192.29999999999998
DC34CC79,P804,1,32.67,32.67
AEEA69E6,P596,1,64.1,64.1
AEEA69E6,P895,2,25.56,51.12
AEEA69E6,P735,1,74.18,74.18
AEEA69E6,P118,1,45.51,45.51
E36E2520,P629,2,63.06,126.12
E36E2520,P895,1,25.56,25.56
E36E2520,P302,2,96.08,192.16
E36E2520,P735,1,74.18,74.18
E36E2520,P369,1,15.35,15.35
52110ADC,P707,1,46.51,46.51
52110ADC,P302,2,96.08,192.16
52110ADC,P155,2,43.27,86.54
FC7D7BE1,P816,3,60.63,181.89000000000001
FC7D7BE1,P666,3,23.54,70.62
FC7D7BE1,P250,2,48.1,96.2
FC7D7BE1,P155,1,43.27,43.27
FC7D7BE1,P206,3,44.01,132.03
EBF45470,P200,3,85.36,256.08
EBF45470,P362,1,18.08,18.08
EBF45470,P644,1,81.82,81.82
EBF45470,P369,2,15.35,30.7
23097DF2,P452,3,68.63,205.89
23097DF2,P774,2,81.02,162.04
6B22C425,P439,3,15.45,46.349999999999994
6B22C425,P891,1,73.07,73.07
6B22C425,P644,1,81.82,81.82
6B22C425,P376,2,45.06,90.12
6B22C425,P302,3,96.08,288.24
AE0F9A9B,P452,1,68.63,68.63
AE0F9A9B,P604,2,54.38,108.76
4FD5E3CC,P369,3,15.35,46.05
4FD5E3CC,P452,1,68.63,68.63
4FD5E3CC,P977,2,61.63,123.26
4FD5E3CC,P774,3,81.02,243.06
4FD5E3CC,P250,3,48.1,144.3
9F7DF801,P996,2,48.1,96.2
9F7DF801,P875,3,69.62,208.86
9F7DF801,P646,2,29.88,59.76
9F7DF801,P720,1,79.36,79.36
A5362AC1,P596,3,64.1,192.29999999999998
A5362AC1,P783,2,88.71,177.42
59F0E5D5,P380,1,4.31,4.31
59F0E5D5,P376,2,45.06,90.12
59F0E5D5,P369,1,15.35,15.35
59F0E5D5,P707,2,46.51,93.02
59F0E5D5,P712,1,68.0,68.0
5B83C08D,P801,2,84.22,168.44
5B83C08D,P369,2,15.35,30.7
7F4BADFE,P462,1,48.42,48.42
7F4BADFE,P606,3,13.36,40.08
7F4BADFE,P971,1,1.79,1.79
7F4BADFE,P155,2,43.27,86.54
7F4BADFE,P369,3,15.35,46.05
92D9434E,P720,3,79.36,238.07999999999998
92D9434E,P712,2,68.0,136.0
92D9434E,P200,1,85.36,85.36
6E29607C,P971,2,1.79,3.58
6E29607C,P452,2,68.63,137.26
6E29607C,P735,2,74.18,148.36
6E29607C,P756,1,33.56,33.56
6E29607C,P362,1,18.08,18.08
62671187,P462,3,48.42,145.26
8314C3FE,P895,2,25.56,51.12
8314C3FE,P971,1,1.79,1.79
EE0AC40E,P631,2,61.79,123.58
EE0AC40E,P891,1,73.07,73.07
EE0AC40E,P606,3,13.36,40.08
EE0AC40E,P206,2,44.01,88.02
A8EA3E60,P200,3,85.36,256.08
A8EA3E60,P631,2,61.79,123.58
55A5FB5C,P875,1,69.62,69.62
55A5FB5C,P666,2,23.54,47.08
749B2BE8,P895,2,25.56,51.12
749B2BE8,P606,2,13.36,26.72
749B2BE8,P631,2,61.79,123.58
749B2BE8,P996,1,48.1,48.1
749B2BE8,P200,1,85.36,85.36
EF1394F0,P155,1,43.27,43.27
EF1394F0,P604,2,54.38,108.76
63E377B9,P452,2,68.63,137.26
63E377B9,P206,1,44.01,44.01
63E377B9,P971,1,1.79,1.79
84AC3FA0,P604,2,54.38,108.76
84AC3FA0,P863,3,74.75,224.25
84AC3FA0,P629,1,63.06,63.06
84AC3FA0,P804,1,32.67,32.67
D4CF5223,P996,1,48.1,48.1
53F0E91C,P155,1,43.27,43.27
53F0E91C,P656,2,75.85,151.7
53F0E91C,P250,2,48.1,96.2
E01581EA,P804,3,32.67,98.01
E01581EA,P707,1,46.51,46.51
E01581EA,P348,3,20.09,60.269999999999996
E01581EA,P489,2,95.66,191.32
E7C36453,P863,3,74.75,224.25
AAA26533,P804,3,32.67,98.01
AAA26533,P302,2,96.08,192.16
AAA26533,P380,1,4.31,4.31
AAA26533,P489,3,95.66,286.98
F16610E7,P646,1,29.88,29.88
5B00247A,P895,1,25.56,25.56
5B00247A,P816,2,60.63,121.26
5B00247A,P863,1,74.75,74.75
6244B40A,P774,2,81.02,162.04
6244B40A,P875,1,69.62,69.62
6244B40A,P971,2,1.79,3.58
A64C4935,P629,3,63.06,189.18
8BDEB11E,P348,2,20.09,40.18
8BDEB11E,P895,3,25.56,76.67999999999999
8BDEB11E,P804,1,32.67,32.67
8BDEB11E,P707,3,46.51,139.53
8BDEB11E,P302,1,96.08,96.08
948BBF55,P439,3,15.45,46.349999999999994
948BBF55,P783,1,88.71,88.71
948BBF55,P807,3,87.2,261.6
948BBF55,P155,3,43.27,129.81
948BBF55,P631,1,61.79,61.79
4A328259,P735,1,74.18,74.18
4A328259,P641,1,71.45,71.45
4A328259,P302,1,96.08,96.08
4A328259,P400,3,92.91,278.73
4A328259,P971,2,1.79,3.58
0B148F46,P875,1,69.62,69.62
0B148F46,P596,3,64.1,192.29999999999998
0B148F46,P118,1,45.51,45.51
0B148F46,P206,3,44.01,132.03
5786DED8,P250,3,48.1,144.3
5786DED8,P451,2,50.67,101.34
5786DED8,P489,2,95.66,191.32
5786DED8,P631,3,61.79,185.37
5786DED8,P522,1,77.75,77.75
9B579B32,P707,3,46.51,139.53
9B579B32,P644,1,81.82,81.82
9B579B32,P783,1,88.71,88.71
58334FA5,P542,1,51.63,51.63
58334FA5,P596,1,64.1,64.1
58334FA5,P807,1,87.2,87.2
7DA59434,P629,3,63.06,189.18
7DA59434,P801,1,84.22,84.22
7DA59434,P804,2,32.67,65.34
A703A35F,P629,2,63.06,126.12
A703A35F,P376,1,45.06,45.06
0AA8313B,P735,3,74.18,222.54000000000002
0AA8313B,P745,2,24.76,49.52
0AA8313B,P380,1,4.31,4.31
0AA8313B,P439,1,15.45,15.45
0AA8313B,P302,2,96.08,192.16
A4988E72,P362,1,18.08,18.08
A4988E72,P200,1,85.36,85.36
A4988E72,P542,1,51.63,51.63
3E22DCF5,P462,2,48.42,96.84
C9114DA2,P644,2,81.82,163.64
C9114DA2,P745,3,24.76,74.28
DD15684E,P362,3,18.08,54.239999999999995
361F5C13,P804,2,32.67,65.34
361F5C13,P756,3,33.56,100.68
361F5C13,P542,1,51.63,51.63
361F5C13,P439,3,15.45,46.349999999999994
361F5C13,P656,1,75.85,75.85
AC0031D4,P155,3,43.27,129.81
AC0031D4,P801,1,84.22,84.22
AC0031D4,P735,1,74.18,74.18
3DFDD276,P155,3,43.27,129.81
3DFDD276,P439,3,15.45,46.349999999999994
3DFDD276,P679,2,14.99,29.98
3DFDD276,P890,3,23.71,71.13
307A2038,P369,3,15.35,46.05
307A2038,P783,3,88.71,266.13
0FDC9026,P542,1,51.63,51.63
51A85BBD,P522,2,77.75,155.5
51A85BBD,P542,1,51.63,51.63
51A85BBD,P452,1,68.63,68.63
51A85BBD,P250,3,48.1,144.3
E94F8EB5,P646,1,29.88,29.88
E94F8EB5,P462,3,48.42,145.26
B7780ACF,P362,2,18.08,36.16
B7780ACF,P369,1,15.35,15.35
B7780ACF,P890,3,23.71,71.13
B7780ACF,P376,1,45.06,45.06
B7780ACF,P656,1,75.85,75.85
BDB48DFE,P712,3,68.0,204.0
BDB48DFE,P489,3,95.66,286.98
5A02F5B3,P735,2,74.18,148.36
5A02F5B3,P875,2,69.62,139.24
5A02F5B3,P206,2,44.01,88.02
5A02F5B3,P200,3,85.36,256.08
BE94F12E,P977,2,61.63,123.26
DD184439,P977,2,61.63,123.26
DD184439,P801,3,84.22,252.66
DD184439,P774,2,81.02,162.04
BED7A7F0,P542,2,51.63,103.26
BED7A7F0,P891,2,73.07,146.14
BED7A7F0,P756,2,33.56,67.12
BED7A7F0,P400,2,92.91,185.82
9DFA2DB0,P606,1,13.36,13.36
9DFA2DB0,P452,3,68.63,205.89
9DFA2DB0,P118,1,45.51,45.51
928047DD,P522,1,77.75,77.75
3F4CC0E8,P890,1,23.71,23.71
3F4CC0E8,P977,3,61.63,184.89000000000001
3F4CC0E8,P200,2,85.36,170.72
3F4CC0E8,P996,1,48.1,48.1
47255E8A,P783,2,88.71,177.42
47255E8A,P801,1,84.22,84.22
47255E8A,P707,1,46.51,46.51
2750432F,P801,3,84.22,252.66
2750432F,P646,2,29.88,59.76
2750432F,P720,1,79.36,79.36
2750432F,P376,1,45.06,45.06
D5F872EB,P439,2,15.45,30.9
D5F872EB,P606,2,13.36,26.72
43D41AFC,P801,2,84.22,168.44
43D41AFC,P712,2,68.0,136.0
AE1CE187,P489,1,95.66,95.66
21C9B97D,P816,2,60.63,121.26
21C9B97D,P720,2,79.36,158.72
21C9B97D,P783,1,88.71,88.71
21C9B97D,P646,1,29.88,29.88
FF59B101,P206,3,44.01,132.03
FF59B101,P118,1,45.51,45.51
FF59B101,P712,2,68.0,136.0
764CD2BF,P362,1,18.08,18.08
764CD2BF,P118,2,45.51,91.02
5E914BF0,P666,2,23.54,47.08
5E914BF0,P720,2,79.36,158.72
5E914BF0,P783,1,88.71,88.71
D98B8F90,P712,1,68.0,68.0
A58036BB,P666,1,23.54,23.54
A58036BB,P302,2,96.08,192.16
A58036BB,P629,2,63.06,126.12
4F1CA44F,P631,1,61.79,61.79
4F1CA44F,P376,1,45.06,45.06
4F1CA44F,P200,3,85.36,256.08
4F1CA44F,P745,1,24.76,24.76
4F1CA44F,P875,1,69.62,69.62
41D244DF,P656,3,75.85,227.54999999999998
41D244DF,P646,2,29.88,59.76
41D244DF,P666,1,23.54,23.54
BA6CA863,P489,2,95.66,191.32
BA6CA863,P977,1,61.63,61.63
BA6CA863,P666,2,23.54,47.08
BA6CA863,P774,1,81.02,81.02
19213DD9,P644,1,81.82,81.82
25AE140B,P542,1,51.63,51.63
25AE140B,P801,3,84.22,252.66
25AE140B,P348,3,20.09,60.269999999999996
169EED67,P863,1,74.75,74.75
C2E2B545,P807,3,87.2,261.6
C2E2B545,P783,1,88.71,88.71
C2E2B545,P891,3,73.07,219.20999999999998
C2E2B545,P735,2,74.18,148.36
63813358,P712,3,68.0,204.0
63813358,P745,3,24.76,74.28
63813358,P400,2,92.91,185.82
63813358,P774,2,81.02,162.04
63813358,P376,3,45.06,135.18
C366D43C,P155,1,43.27,43.27
C366D43C,P439,1,15.45,15.45
C366D43C,P542,1,51.63,51.63
C366D43C,P462,3,48.42,145.26
F5317B5E,P542,1,51.63,51.63
F5317B5E,P807,3,87.2,261.6
BE635E2F,P596,2,64.1,128.2
BE635E2F,P631,2,61.79,123.58
BE635E2F,P783,1,88.71,88.71
BE635E2F,P489,2,95.66,191.32
BE635E2F,P542,3,51.63,154.89000000000001
CEF0A68F,P542,3,51.63,154.89000000000001
CEF0A68F,P302,2,96.08,192.16
334617EF,P641,2,71.45,142.9
334617EF,P807,2,87.2,174.4
15A99C4D,P118,3,45.51,136.53
F4132CB0,P631,3,61.79,185.37
F4132CB0,P895,3,25.56,76.67999999999999
F4132CB0,P712,3,68.0,204.0
B636C6D0,P745,3,24.76,74.28
B636C6D0,P679,1,14.99,14.99
B636C6D0,P302,3,96.08,288.24
B636C6D0,P155,1,43.27,43.27
32963EF5,P348,3,20.09,60.269999999999996
32963EF5,P807,2,87.2,174.4
5E565ACE,P155,3,43.27,129.81
5E565ACE,P302,1,96.08,96.08
5E565ACE,P646,3,29.88,89.64
1B5E4001,P895,2,25.56,51.12
1B5E4001,P801,2,84.22,168.44
1B5E4001,P439,1,15.45,15.45
1B5E4001,P971,1,1.79,1.79
